spec,channel,placed,sigma_block,q,refire,yield_exact,misaddr_rate,p_bsc,accept_rate,anchor_density_per100,collision_rate,entropy_bits,rank_fraction
D20:alnum/w2/left,clean,105,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.463,0.0952,3.87,0.9048
D20:alnum/w2/left,recase,105,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.463,0.0952,3.87,0.9048
D20:alnum/w2/left,repunctuate,105,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.463,0.0952,3.87,0.9048
D20:alnum/w2/left,crop-50,105,0.4571,0.9583,0.0,0.4381,0.0,0.0,0.4381,5.463,0.0952,3.87,0.9348
D20:alnum/w2/left,crop-20,105,0.2476,1.0,0.0,0.2476,0.0,0.0,0.2476,5.463,0.0952,3.87,0.9615
D20:alnum/w2/left,frag-5x-30,105,0.3238,0.9118,0.0,0.2952,0.0,0.0,0.2952,5.463,0.0952,3.87,0.9355
D20:alnum/w2/left,frag-20x-30,105,0.2286,0.5417,0.0,0.1238,0.0,0.0,0.1238,5.463,0.0952,3.87,1.0
D20:alnum/w2/left,delsent-20,105,0.6286,0.9848,1.0,0.619,0.01515,0.00758,0.6286,5.463,0.0952,3.87,0.9231
D20:alnum/w2/left,delsent-50,105,0.5238,0.9636,0.0,0.5048,0.0,0.0,0.5048,5.463,0.0952,3.87,0.9434
D20:alnum/w2/left,reorder-paras,105,0.9905,1.0,0.0,0.9905,0.0,0.0,0.9905,5.463,0.0952,3.87,0.9038
D20:alnum/w2/left,splice-30,105,1.0,0.981,0.0,0.981,0.0,0.0,0.981,5.463,0.0952,3.87,0.9029
D20:alnum/w2/left,reword-05,105,1.0,0.9619,0.0,0.9619,0.0,0.0,0.9619,5.463,0.0952,3.87,0.901
D20:alnum/w2/left,reword-10,105,1.0,0.8476,0.125,0.8476,0.02198,0.01099,0.8667,5.463,0.0952,3.87,0.9326
D20:alnum/w2/left,reword-25,105,1.0,0.781,0.0,0.781,0.0,0.0,0.781,5.463,0.0952,3.87,0.9512
D20:alnum/w2/left,typo-05,105,1.0,0.9429,0.0,0.9429,0.0,0.0,0.9429,5.463,0.0952,3.87,0.9293
D20:alnum/w2/left,thin-01,105,0.9714,1.0,0.0,0.9714,0.0,0.0,0.9714,5.463,0.0952,3.87,0.9118
D20:alnum/w2/left,thin-10,105,0.9048,1.0,0.0,0.9048,0.0,0.0,0.9048,5.463,0.0952,3.87,0.9158
D20:alnum/w2/left,synthA-frag3-rw10-sp20,105,0.3143,1.0,0.0,0.3143,0.0,0.0,0.3143,5.463,0.0952,3.87,1.0
D20:alnum/w2/left,synthB-frag10-rw25-ty5-th5,105,0.2667,0.6786,0.1111,0.181,0.05,0.025,0.1905,5.463,0.0952,3.87,0.9474
D20:alnum/w4/left,clean,95,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.943,0.0,3.95,1.0
D20:alnum/w4/left,recase,95,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.943,0.0,3.95,1.0
D20:alnum/w4/left,repunctuate,95,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.943,0.0,3.95,1.0
D20:alnum/w4/left,crop-50,95,0.4737,1.0,0.0,0.4737,0.0,0.0,0.4737,4.943,0.0,3.95,1.0
D20:alnum/w4/left,crop-20,95,0.2526,0.875,0.0,0.2211,0.0,0.0,0.2211,4.943,0.0,3.95,1.0
D20:alnum/w4/left,frag-5x-30,95,0.2421,0.7391,0.0,0.1789,0.0,0.0,0.1789,4.943,0.0,3.95,1.0
D20:alnum/w4/left,frag-20x-30,95,0.2947,0.1786,0.087,0.0526,0.28571,0.14286,0.0737,4.943,0.0,3.95,1.0
D20:alnum/w4/left,delsent-20,95,0.8,1.0,0.0,0.8,0.0,0.0,0.8,4.943,0.0,3.95,1.0
D20:alnum/w4/left,delsent-50,95,0.5895,0.9107,0.0,0.5368,0.0,0.0,0.5368,4.943,0.0,3.95,1.0
D20:alnum/w4/left,reorder-paras,95,1.0,0.9684,0.0,0.9684,0.0,0.0,0.9684,4.943,0.0,3.95,1.0
D20:alnum/w4/left,splice-30,95,1.0,0.9474,0.0,0.9474,0.0,0.0,0.9474,4.943,0.0,3.95,1.0
D20:alnum/w4/left,reword-05,95,1.0,0.8842,0.0,0.8842,0.0,0.0,0.8842,4.943,0.0,3.95,1.0
D20:alnum/w4/left,reword-10,95,1.0,0.8211,0.0588,0.8211,0.01266,0.00633,0.8316,4.943,0.0,3.95,1.0
D20:alnum/w4/left,reword-25,95,1.0,0.5474,0.0233,0.5474,0.01887,0.00943,0.5579,4.943,0.0,3.95,1.0
D20:alnum/w4/left,typo-05,95,1.0,0.9053,0.0,0.9053,0.0,0.0,0.9053,4.943,0.0,3.95,1.0
D20:alnum/w4/left,thin-01,95,0.9895,1.0,0.0,0.9895,0.0,0.0,0.9895,4.943,0.0,3.95,1.0
D20:alnum/w4/left,thin-10,95,0.8526,1.0,0.0,0.8526,0.0,0.0,0.8526,4.943,0.0,3.95,1.0
D20:alnum/w4/left,synthA-frag3-rw10-sp20,95,0.3789,0.75,0.1111,0.2842,0.03571,0.01786,0.2947,4.943,0.0,3.95,1.0
D20:alnum/w4/left,synthB-frag10-rw25-ty5-th5,95,0.2421,0.3913,0.0,0.0947,0.0,0.0,0.0947,4.943,0.0,3.95,1.0
D20:alnum/w8/left,clean,92,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.787,0.0,3.88,1.0
D20:alnum/w8/left,recase,92,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.787,0.0,3.88,1.0
D20:alnum/w8/left,repunctuate,92,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.787,0.0,3.88,1.0
D20:alnum/w8/left,crop-50,92,0.587,0.9815,0.0,0.5761,0.0,0.0,0.5761,4.787,0.0,3.88,1.0
D20:alnum/w8/left,crop-20,92,0.1848,0.8235,0.0,0.1522,0.0,0.0,0.1522,4.787,0.0,3.88,1.0
D20:alnum/w8/left,frag-5x-30,92,0.3043,0.75,0.0,0.2283,0.0,0.0,0.2283,4.787,0.0,3.88,1.0
D20:alnum/w8/left,frag-20x-30,92,0.2391,0.2273,0.1176,0.0543,0.28571,0.14286,0.0761,4.787,0.0,3.88,1.0
D20:alnum/w8/left,delsent-20,92,0.8152,0.92,0.0,0.75,0.0,0.0,0.75,4.787,0.0,3.88,1.0
D20:alnum/w8/left,delsent-50,92,0.4891,0.6889,0.0,0.337,0.0,0.0,0.337,4.787,0.0,3.88,1.0
D20:alnum/w8/left,reorder-paras,92,1.0,0.9457,0.0,0.9457,0.0,0.0,0.9457,4.787,0.0,3.88,1.0
D20:alnum/w8/left,splice-30,92,1.0,0.8913,0.0,0.8913,0.0,0.0,0.8913,4.787,0.0,3.88,1.0
D20:alnum/w8/left,reword-05,92,1.0,0.7826,0.1,0.7826,0.02703,0.01351,0.8043,4.787,0.0,3.88,1.0
D20:alnum/w8/left,reword-10,92,1.0,0.7609,0.0,0.7609,0.0,0.0,0.7609,4.787,0.0,3.88,1.0
D20:alnum/w8/left,reword-25,92,1.0,0.337,0.0328,0.337,0.06061,0.0303,0.3587,4.787,0.0,3.88,1.0
D20:alnum/w8/left,typo-05,92,1.0,0.6957,0.0714,0.6957,0.0303,0.01515,0.7174,4.787,0.0,3.88,1.0
D20:alnum/w8/left,thin-01,92,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.787,0.0,3.88,1.0
D20:alnum/w8/left,thin-10,92,0.9022,1.0,0.0,0.9022,0.0,0.0,0.9022,4.787,0.0,3.88,1.0
D20:alnum/w8/left,synthA-frag3-rw10-sp20,92,0.337,0.6452,0.0,0.2174,0.0,0.0,0.2174,4.787,0.0,3.88,1.0
D20:alnum/w8/left,synthB-frag10-rw25-ty5-th5,92,0.2174,0.05,0.1053,0.0109,0.66667,0.33333,0.0326,4.787,0.0,3.88,1.0
D20:alnum/w16/left,clean,99,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.151,0.0,4.0,1.0
D20:alnum/w16/left,recase,99,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.151,0.0,4.0,1.0
D20:alnum/w16/left,repunctuate,99,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.151,0.0,4.0,1.0
D20:alnum/w16/left,crop-50,99,0.4141,0.878,0.0,0.3636,0.0,0.0,0.3636,5.151,0.0,4.0,1.0
D20:alnum/w16/left,crop-20,99,0.2121,0.6667,0.0,0.1414,0.0,0.0,0.1414,5.151,0.0,4.0,1.0
D20:alnum/w16/left,frag-5x-30,99,0.3232,0.4688,0.0,0.1515,0.0,0.0,0.1515,5.151,0.0,4.0,1.0
D20:alnum/w16/left,frag-20x-30,99,0.2525,0.0,0.08,0.0,1.0,0.5,0.0202,5.151,0.0,4.0,0.0
D20:alnum/w16/left,delsent-20,99,0.7374,0.7945,0.0,0.5859,0.0,0.0,0.5859,5.151,0.0,4.0,1.0
D20:alnum/w16/left,delsent-50,99,0.5354,0.6226,0.0,0.3333,0.0,0.0,0.3333,5.151,0.0,4.0,1.0
D20:alnum/w16/left,reorder-paras,99,1.0,0.8485,0.0,0.8485,0.0,0.0,0.8485,5.151,0.0,4.0,1.0
D20:alnum/w16/left,splice-30,99,1.0,0.8586,0.1429,0.8586,0.02299,0.01149,0.8788,5.151,0.0,4.0,1.0
D20:alnum/w16/left,reword-05,99,1.0,0.7172,0.0,0.7172,0.0,0.0,0.7172,5.151,0.0,4.0,1.0
D20:alnum/w16/left,reword-10,99,1.0,0.3232,0.0597,0.3232,0.11111,0.05556,0.3636,5.151,0.0,4.0,1.0
D20:alnum/w16/left,reword-25,99,1.0,0.1212,0.0,0.1212,0.0,0.0,0.1212,5.151,0.0,4.0,1.0
D20:alnum/w16/left,typo-05,99,1.0,0.6364,0.0556,0.6364,0.03077,0.01538,0.6566,5.151,0.0,4.0,1.0
D20:alnum/w16/left,thin-01,99,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.151,0.0,4.0,1.0
D20:alnum/w16/left,thin-10,99,0.8889,1.0,0.0,0.8889,0.0,0.0,0.8889,5.151,0.0,4.0,1.0
D20:alnum/w16/left,synthA-frag3-rw10-sp20,99,0.3535,0.2571,0.0769,0.0909,0.18182,0.09091,0.1111,5.151,0.0,4.0,1.0
D20:alnum/w16/left,synthB-frag10-rw25-ty5-th5,99,0.303,0.0,0.0667,0.0,1.0,0.5,0.0202,5.151,0.0,4.0,0.0
D20:alnum/w32/left,clean,84,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.37,0.0,3.72,1.0
D20:alnum/w32/left,recase,84,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.37,0.0,3.72,1.0
D20:alnum/w32/left,repunctuate,84,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.37,0.0,3.72,1.0
D20:alnum/w32/left,crop-50,84,0.5357,0.7778,0.0,0.4167,0.0,0.0,0.4167,4.37,0.0,3.72,1.0
D20:alnum/w32/left,crop-20,84,0.1905,0.375,0.0,0.0714,0.0,0.0,0.0714,4.37,0.0,3.72,1.0
D20:alnum/w32/left,frag-5x-30,84,0.381,0.125,0.0357,0.0476,0.2,0.1,0.0595,4.37,0.0,3.72,1.0
D20:alnum/w32/left,frag-20x-30,84,0.2381,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,3.72,0.0
D20:alnum/w32/left,delsent-20,84,0.8333,0.7286,0.0526,0.6071,0.01923,0.00962,0.619,4.37,0.0,3.72,1.0
D20:alnum/w32/left,delsent-50,84,0.6071,0.5686,0.0455,0.3452,0.03333,0.01667,0.3571,4.37,0.0,3.72,1.0
D20:alnum/w32/left,reorder-paras,84,0.9881,0.6867,0.0385,0.6786,0.01724,0.00862,0.6905,4.37,0.0,3.72,1.0
D20:alnum/w32/left,splice-30,84,1.0,0.7262,0.1739,0.7262,0.06154,0.03077,0.7738,4.37,0.0,3.72,1.0
D20:alnum/w32/left,reword-05,84,1.0,0.2619,0.0,0.2619,0.0,0.0,0.2619,4.37,0.0,3.72,1.0
D20:alnum/w32/left,reword-10,84,1.0,0.3095,0.0517,0.3095,0.10345,0.05172,0.3452,4.37,0.0,3.72,1.0
D20:alnum/w32/left,reword-25,84,1.0,0.0119,0.0843,0.0119,0.875,0.4375,0.0952,4.37,0.0,3.72,1.0
D20:alnum/w32/left,typo-05,84,1.0,0.2976,0.0,0.2976,0.0,0.0,0.2976,4.37,0.0,3.72,1.0
D20:alnum/w32/left,thin-01,84,0.9762,1.0,0.0,0.9762,0.0,0.0,0.9762,4.37,0.0,3.72,1.0
D20:alnum/w32/left,thin-10,84,0.9286,1.0,0.0,0.9286,0.0,0.0,0.9286,4.37,0.0,3.72,1.0
D20:alnum/w32/left,synthA-frag3-rw10-sp20,84,0.1905,0.0625,0.1333,0.0119,0.66667,0.33333,0.0357,4.37,0.0,3.72,1.0
D20:alnum/w32/left,synthB-frag10-rw25-ty5-th5,84,0.2381,0.0,0.05,0.0,1.0,0.5,0.0119,4.37,0.0,3.72,0.0
D20:stem/w2/left,clean,90,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.683,0.1,3.59,0.9
D20:stem/w2/left,recase,90,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.683,0.1,3.59,0.9
D20:stem/w2/left,repunctuate,90,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.683,0.1,3.59,0.9
D20:stem/w2/left,crop-50,90,0.4333,0.9487,0.0,0.4111,0.0,0.0,0.4111,4.683,0.1,3.59,1.0
D20:stem/w2/left,crop-20,90,0.1889,1.0,0.0,0.1889,0.0,0.0,0.1889,4.683,0.1,3.59,1.0
D20:stem/w2/left,frag-5x-30,90,0.2667,0.9583,0.0,0.2556,0.0,0.0,0.2556,4.683,0.1,3.59,0.9565
D20:stem/w2/left,frag-20x-30,90,0.2222,0.55,0.0,0.1222,0.0,0.0,0.1222,4.683,0.1,3.59,1.0
D20:stem/w2/left,delsent-20,90,0.8667,0.9487,0.0,0.8222,0.0,0.0,0.8222,4.683,0.1,3.59,0.9324
D20:stem/w2/left,delsent-50,90,0.4667,0.9524,0.0,0.4444,0.0,0.0,0.4444,4.683,0.1,3.59,0.9
D20:stem/w2/left,reorder-paras,90,0.9889,0.9888,0.0,0.9778,0.0,0.0,0.9778,4.683,0.1,3.59,0.8977
D20:stem/w2/left,splice-30,90,1.0,0.9333,0.1667,0.9333,0.01176,0.00588,0.9444,4.683,0.1,3.59,0.8929
D20:stem/w2/left,reword-05,90,1.0,0.9667,0.0,0.9667,0.0,0.0,0.9667,4.683,0.1,3.59,0.908
D20:stem/w2/left,reword-10,90,1.0,0.8889,0.0,0.8889,0.0,0.0,0.8889,4.683,0.1,3.59,0.9
D20:stem/w2/left,reword-25,90,1.0,0.7,0.0,0.7,0.0,0.0,0.7,4.683,0.1,3.59,0.9365
D20:stem/w2/left,typo-05,90,1.0,0.9222,0.1429,0.9222,0.0119,0.00595,0.9333,4.683,0.1,3.59,0.9277
D20:stem/w2/left,thin-01,90,0.9667,1.0,0.0,0.9667,0.0,0.0,0.9667,4.683,0.1,3.59,0.8966
D20:stem/w2/left,thin-10,90,0.9111,1.0,0.0,0.9111,0.0,0.0,0.9111,4.683,0.1,3.59,0.9268
D20:stem/w2/left,synthA-frag3-rw10-sp20,90,0.3333,0.8667,0.0,0.2889,0.0,0.0,0.2889,4.683,0.1,3.59,1.0
D20:stem/w2/left,synthB-frag10-rw25-ty5-th5,90,0.2222,0.5,0.0,0.1111,0.0,0.0,0.1111,4.683,0.1,3.59,1.0
D20:stem/w4/left,clean,104,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.411,0.0,4.08,1.0
D20:stem/w4/left,recase,104,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.411,0.0,4.08,1.0
D20:stem/w4/left,repunctuate,104,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.411,0.0,4.08,1.0
D20:stem/w4/left,crop-50,104,0.4808,0.94,0.0,0.4519,0.0,0.0,0.4519,5.411,0.0,4.08,1.0
D20:stem/w4/left,crop-20,104,0.1442,1.0,0.0,0.1442,0.0,0.0,0.1442,5.411,0.0,4.08,1.0
D20:stem/w4/left,frag-5x-30,104,0.2115,0.9545,0.0,0.2019,0.0,0.0,0.2019,5.411,0.0,4.08,1.0
D20:stem/w4/left,frag-20x-30,104,0.2788,0.3448,0.0,0.0962,0.0,0.0,0.0962,5.411,0.0,4.08,1.0
D20:stem/w4/left,delsent-20,104,0.6058,0.9683,0.0,0.5865,0.0,0.0,0.5865,5.411,0.0,4.08,1.0
D20:stem/w4/left,delsent-50,104,0.5769,0.8833,0.0,0.5096,0.0,0.0,0.5096,5.411,0.0,4.08,1.0
D20:stem/w4/left,reorder-paras,104,0.9904,0.9612,0.0,0.9519,0.0,0.0,0.9519,5.411,0.0,4.08,1.0
D20:stem/w4/left,splice-30,104,1.0,0.9231,0.0,0.9231,0.0,0.0,0.9231,5.411,0.0,4.08,1.0
D20:stem/w4/left,reword-05,104,1.0,0.8846,0.0,0.8846,0.0,0.0,0.8846,5.411,0.0,4.08,1.0
D20:stem/w4/left,reword-10,104,1.0,0.8077,0.0,0.8077,0.0,0.0,0.8077,5.411,0.0,4.08,1.0
D20:stem/w4/left,reword-25,104,1.0,0.5481,0.0851,0.5481,0.06557,0.03279,0.5865,5.411,0.0,4.08,1.0
D20:stem/w4/left,typo-05,104,1.0,0.9038,0.0,0.9038,0.0,0.0,0.9038,5.411,0.0,4.08,1.0
D20:stem/w4/left,thin-01,104,0.9712,1.0,0.0,0.9712,0.0,0.0,0.9712,5.411,0.0,4.08,1.0
D20:stem/w4/left,thin-10,104,0.8846,1.0,0.0,0.8846,0.0,0.0,0.8846,5.411,0.0,4.08,1.0
D20:stem/w4/left,synthA-frag3-rw10-sp20,104,0.3462,0.7778,0.125,0.2692,0.03448,0.01724,0.2788,5.411,0.0,4.08,1.0
D20:stem/w4/left,synthB-frag10-rw25-ty5-th5,104,0.2596,0.4074,0.0,0.1058,0.0,0.0,0.1058,5.411,0.0,4.08,1.0
D20:stem/w8/left,clean,87,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.527,0.0,3.83,1.0
D20:stem/w8/left,recase,87,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.527,0.0,3.83,1.0
D20:stem/w8/left,repunctuate,87,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.527,0.0,3.83,1.0
D20:stem/w8/left,crop-50,87,0.4483,0.9487,0.0,0.4253,0.0,0.0,0.4253,4.527,0.0,3.83,1.0
D20:stem/w8/left,crop-20,87,0.2069,0.8333,0.0,0.1724,0.0,0.0,0.1724,4.527,0.0,3.83,1.0
D20:stem/w8/left,frag-5x-30,87,0.3103,0.6296,0.0,0.1954,0.0,0.0,0.1954,4.527,0.0,3.83,1.0
D20:stem/w8/left,frag-20x-30,87,0.2414,0.1905,0.0,0.046,0.0,0.0,0.046,4.527,0.0,3.83,1.0
D20:stem/w8/left,delsent-20,87,0.8276,0.9028,0.0,0.7471,0.0,0.0,0.7471,4.527,0.0,3.83,1.0
D20:stem/w8/left,delsent-50,87,0.5057,0.8182,0.0,0.4138,0.0,0.0,0.4138,4.527,0.0,3.83,1.0
D20:stem/w8/left,reorder-paras,87,1.0,0.9425,0.0,0.9425,0.0,0.0,0.9425,4.527,0.0,3.83,1.0
D20:stem/w8/left,splice-30,87,1.0,0.8736,0.0,0.8736,0.0,0.0,0.8736,4.527,0.0,3.83,1.0
D20:stem/w8/left,reword-05,87,1.0,0.8046,0.1765,0.8046,0.0411,0.02055,0.8391,4.527,0.0,3.83,1.0
D20:stem/w8/left,reword-10,87,1.0,0.6782,0.0357,0.6782,0.01667,0.00833,0.6897,4.527,0.0,3.83,1.0
D20:stem/w8/left,reword-25,87,1.0,0.3908,0.0566,0.3908,0.08108,0.04054,0.4253,4.527,0.0,3.83,1.0
D20:stem/w8/left,typo-05,87,1.0,0.7586,0.0,0.7586,0.0,0.0,0.7586,4.527,0.0,3.83,1.0
D20:stem/w8/left,thin-01,87,0.9885,1.0,0.0,0.9885,0.0,0.0,0.9885,4.527,0.0,3.83,1.0
D20:stem/w8/left,thin-10,87,0.8506,1.0,0.0,0.8506,0.0,0.0,0.8506,4.527,0.0,3.83,1.0
D20:stem/w8/left,synthA-frag3-rw10-sp20,87,0.3793,0.5758,0.0714,0.2184,0.05,0.025,0.2299,4.527,0.0,3.83,1.0
D20:stem/w8/left,synthB-frag10-rw25-ty5-th5,87,0.1954,0.1765,0.0,0.0345,0.0,0.0,0.0345,4.527,0.0,3.83,1.0
D20:stem/w16/left,clean,93,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.839,0.0,3.93,1.0
D20:stem/w16/left,recase,93,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.839,0.0,3.93,1.0
D20:stem/w16/left,repunctuate,93,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.839,0.0,3.93,1.0
D20:stem/w16/left,crop-50,93,0.4946,0.9565,0.0,0.4731,0.0,0.0,0.4731,4.839,0.0,3.93,1.0
D20:stem/w16/left,crop-20,93,0.1183,0.9091,0.0,0.1075,0.0,0.0,0.1075,4.839,0.0,3.93,1.0
D20:stem/w16/left,frag-5x-30,93,0.2581,0.4583,0.0,0.1183,0.0,0.0,0.1183,4.839,0.0,3.93,1.0
D20:stem/w16/left,frag-20x-30,93,0.1935,0.0,0.1667,0.0,1.0,0.5,0.0323,4.839,0.0,3.93,0.0
D20:stem/w16/left,delsent-20,93,0.6559,0.7213,0.1176,0.4731,0.04348,0.02174,0.4946,4.839,0.0,3.93,1.0
D20:stem/w16/left,delsent-50,93,0.3978,0.6757,0.0833,0.2688,0.03846,0.01923,0.2796,4.839,0.0,3.93,1.0
D20:stem/w16/left,reorder-paras,93,1.0,0.9032,0.1111,0.9032,0.01176,0.00588,0.914,4.839,0.0,3.93,1.0
D20:stem/w16/left,splice-30,93,1.0,0.871,0.0,0.871,0.0,0.0,0.871,4.839,0.0,3.93,1.0
D20:stem/w16/left,reword-05,93,1.0,0.7204,0.1154,0.7204,0.04286,0.02143,0.7527,4.839,0.0,3.93,1.0
D20:stem/w16/left,reword-10,93,1.0,0.3118,0.0469,0.3118,0.09375,0.04688,0.3441,4.839,0.0,3.93,1.0
D20:stem/w16/left,reword-25,93,1.0,0.1075,0.0361,0.1075,0.23077,0.11538,0.1398,4.839,0.0,3.93,1.0
D20:stem/w16/left,typo-05,93,1.0,0.5914,0.0789,0.5914,0.05172,0.02586,0.6237,4.839,0.0,3.93,1.0
D20:stem/w16/left,thin-01,93,0.9892,1.0,0.0,0.9892,0.0,0.0,0.9892,4.839,0.0,3.93,1.0
D20:stem/w16/left,thin-10,93,0.8925,1.0,0.0,0.8925,0.0,0.0,0.8925,4.839,0.0,3.93,1.0
D20:stem/w16/left,synthA-frag3-rw10-sp20,93,0.2903,0.2222,0.0476,0.0645,0.14286,0.07143,0.0753,4.839,0.0,3.93,1.0
D20:stem/w16/left,synthB-frag10-rw25-ty5-th5,93,0.1935,0.0,0.0556,0.0,1.0,0.5,0.0108,4.839,0.0,3.93,0.0
D20:stem/w32/left,clean,71,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.694,0.0,3.53,1.0
D20:stem/w32/left,recase,71,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.694,0.0,3.53,1.0
D20:stem/w32/left,repunctuate,71,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.694,0.0,3.53,1.0
D20:stem/w32/left,crop-50,71,0.5493,0.7692,0.0,0.4225,0.0,0.0,0.4225,3.694,0.0,3.53,1.0
D20:stem/w32/left,crop-20,71,0.2113,0.6667,0.0,0.1408,0.0,0.0,0.1408,3.694,0.0,3.53,1.0
D20:stem/w32/left,frag-5x-30,71,0.2394,0.1765,0.0714,0.0423,0.25,0.125,0.0563,3.694,0.0,3.53,1.0
D20:stem/w32/left,frag-20x-30,71,0.2254,0.0,0.0,0.0,0.0,0.0,0.0,3.694,0.0,3.53,0.0
